date,apr_pct,tvl_usd
2024-12-21,79.3575,13808130
2024-12-22,62.42374,13925914
2024-12-23,94.10812,14291733
2024-12-24,59.45322,15769352
2024-12-25,47.47966,15654882
2024-12-26,60.9735,14907235
2024-12-27,67.29592,14890021
2024-12-28,34.16371,15558296
2024-12-29,38.09081,15140508
2024-12-30,69.10193,15446145
2024-12-31,64.57968,15582780
2025-01-01,48.27189,15944987
2025-01-02,74.91277,17873104
2025-01-03,58.08669,18476861
2025-01-04,41.43326,19395674
2025-01-05,33.82387,19058066
2025-01-06,67.21456,19095746
2025-01-07,92.50325,17337784
2025-01-08,106.07963,18070932
2025-01-09,106.8184,17166308
2025-01-10,101.05761,17545878
2025-01-11,34.74954,18141800
2025-01-12,28.49174,18572157
2025-01-13,135.1287,17284612
2025-01-14,72.57002,18021070
2025-01-15,87.19873,19153761
2025-01-16,84.51335,19244764
2025-01-17,75.0055,20799226
2025-01-18,105.4953,19365296
2025-01-19,175.80437,21429110
2025-01-20,257.3772,22993048
2025-01-21,118.00493,23709298
2025-01-22,67.15274,22426097
2025-01-23,112.97317,22810573
2025-01-24,86.03973,23102694
2025-01-25,43.29396,23715753
2025-01-26,44.3105,23634012
2025-01-27,141.95053,22903211
2025-01-28,107.55011,21822060
2025-01-29,84.16402,24176267
2025-01-30,63.78513,27874168
2025-01-31,90.20302,27888983
2025-02-01,73.6367,25457068
2025-02-02,153.15296,21964090
2025-02-03,203.40688,23806804
2025-02-04,175.77106,20649011
2025-02-05,100.09263,23628082
2025-02-06,88.15532,24004148
2025-02-07,83.28264,23443532
2025-02-08,80.74429,23608070
2025-02-10,62.6728,24144197
2025-02-11,54.48577,22484508
2025-02-12,72.97341,23895312
2025-02-13,53.24924,24217949
2025-02-14,44.74953,24293604
2025-02-15,21.54842,24594550
2025-02-16,25.23051,23805255
2025-02-17,62.50788,24330679
2025-02-18,64.46102,23966056
2025-02-19,40.13307,25036475
2025-02-20,44.55547,26208251
2025-02-21,81.23555,25669124
2025-02-22,91.99968,26863304
2025-02-23,43.34815,29408884
