timestamp,price,volume
1752120000,2779.1,59546000.390357
1752123600,2781.8,48903606.688054
1752127200,2795.7,95063617.086634
1752130800,2791.09,225192895.228971
1752134400,2788.5,108507911.475022
1752138000,2778.23,40629650.04241
1752141600,2784.93,42109323.263343
1752145200,2778.69,32972038.361064
1752148800,2778.74,62309053.931674
1752152400,2784.81,84815728.539768
1752156000,2776.51,90314218.210508
1752159600,2769.32,52828204.145523
1752163200,2808.3,158303381.323342
1752166800,2830.37,166802493.819934
1752170400,2811.39,109548506.231731
1752174000,2816.21,56854665.305781
1752177600,2818.56,43573147.92393
1752181200,2972.17,671169285.582184
1752184800,2973.88,215551165.546001
1752188400,2951.29,110684868.782107
1752192000,2937.17,134149227.092959
1752195600,2955.09,89389200.501341
1752199200,2965.15,94751094.736346
1752202800,2969.74,65052198.679424
1752206400,2970.23,59736101.356183
1752210000,3004.87,257355016.238973
1752213600,2989.2,150889259.878432
1752217200,2968.49,147600818.291369
1752220800,3003.33,105447349.812337
1752224400,3014.99,161571177.209627
1752228000,3002.99,137855772.765141
1752231600,2984,124930189.39867
1752235200,2986.39,91880477.339333
1752238800,3002.85,139679998.20807
1752242400,2988.73,106720111.567484
1752246000,2951.09,207738576.296233
1752249600,2967.54,149857968.412486
1752253200,2993.31,83056610.637795
1752256800,2995.57,47088441.854199
1752260400,3007.6,80757138.011421
1752264000,2974.8,61685579.915546
1752267600,2966.44,75150757.649301
1752271200,2950.49,102459500.849084
1752274800,2958.22,29682330.769969
1752278400,2952.49,53130719.552521
1752282000,2958.58,38057378.451478
1752285600,2956.64,28314032.795891
1752289200,2966.09,21722609.232534
1752292800,2951.47,52051156.955523
1752296400,2952.81,31298958.362304
1752300000,2959.87,32164701.074757
1752303600,2962.85,46400096.103956
1752307200,2966.74,44095717.701745
1752310800,2974.08,31679040.186456
1752314400,2975.82,26947482.995554
1752318000,2963.39,40759687.136292
1752321600,2943.31,100517277.529777
1752325200,2939.79,79287062.285288
1752328800,2928.3,49988824.61617
1752332400,2916.05,103598351.564425
1752336000,2924.49,50620648.77064
1752339600,2941.27,30713710.124393
1752343200,2942.37,21597569.066153
1752346800,2941.18,22873418.567701
1752350400,2917.02,40873922.28907
1752354000,2939.19,31140392.534245
1752357600,2938.05,24069042.670849
1752361200,2943.28,25422369.26376
1752364800,2944.89,25733122.651342
1752368400,2949.57,29399813.350408
1752372000,2954.01,22945793.722912
1752375600,2955.1,17476565.452383
1752379200,2958.67,17660025.02225
1752382800,2950.66,23648434.24642
1752386400,2959.82,24736525.086173
1752390000,2962.94,20707116.584637
1752393600,2955.88,31760567.942052
1752397200,2949.29,21644135.139861
1752400800,2948.45,15149728.560049
1752404400,2964.58,31291229.041242
1752408000,2986.06,79923857.539234
1752411600,2989.64,74402232.341707
1752415200,2987.85,168165521.457461
1752418800,2992.43,65232173.791208
1752422400,2974.58,58560386.25048
1752426000,2991.82,46063659.417301
1752429600,2994,29806750.0239
1752433200,2989.45,43340950.245755
1752436800,2991.91,30617006.675946
1752440400,2964.99,91899829.365741
1752444000,2959.2,60437383.592587
1752447600,2972.03,32905182.476356
1752451200,2975.41,46908210.240392
1752454800,2974.31,34564095.708335
1752458400,3000.59,100924367.564883
1752462000,3037.36,194722128.898435
1752465600,3053.01,120626297.57791
1752469200,3040.23,189975006.087735
1752472800,3023.66,116924921.393358
1752476400,3045.02,107744173.393925
1752480000,3039.77,76962906.924107
1752483600,3044.71,144423744.348291
1752487200,3066.78,137933000.348916
1752490800,3051.72,109994397.904494
1752494400,3050.94,98763090.162603
1752498000,3056.26,103642874.925614
1752501600,3029.49,145323827.481515
1752505200,3012.49,177926533.679671
1752508800,3025.54,109499220.264157
