date,apr_pct,tvl_usd
2025-04-19,8.34872,8626365
2025-04-20,11.01641,8646563
2025-04-22,54.1798,6582548
2025-04-23,51.57,7099001
2025-04-24,33.2582,7175992
2025-04-25,34.35371,7060506
2025-04-26,10.72448,6959270
2025-04-27,13.22261,6799088
2025-04-28,29.19075,6776991
2025-04-29,28.08659,6695035
2025-04-30,31.72237,6613606
2025-05-01,29.0886,6514451
2025-05-02,23.72713,6584078
2025-05-03,9.08553,5843960
2025-05-04,13.04578,5801683
2025-05-05,23.29274,5812094
2025-05-06,22.76626,5835289
2025-05-07,36.18447,6012305
2025-05-08,41.96389,5947850
2025-05-09,44.48437,5380784
2025-05-10,13.68876,7032733
2025-05-11,28.5343,7371268
2025-05-12,56.36596,7232347
2025-05-13,41.79527,7637546
2025-05-14,33.37574,6633136
2025-05-15,33.91302,6262582
2025-05-23,53.80815,6821455
2025-05-24,26.13004,7086163
2025-05-25,32.73236,7050296
2025-05-26,34.489,7193739
2025-05-27,43.36719,7558990
2025-05-28,28.20043,7491989
2025-05-29,37.83279,7538835
2025-05-30,44.78525,7647134
2025-05-31,22.26965,7375887
2025-06-01,15.75028,7070626
2025-06-02,26.96497,6213441
2025-06-03,22.92951,6228943
2025-06-04,18.946,6299951
2025-06-05,33.5952,6404895
2025-06-06,23.90982,6275805
2025-06-07,12.89734,6385023
2025-06-08,11.85148,6410924
2025-06-09,32.16196,6634987
2025-06-10,33.48312,6613214
2025-06-11,32.95522,6626052
2025-06-12,39.35103,6574340
2025-06-13,66.88241,6437640
2025-06-14,16.2819,6473205
2025-06-15,16.05119,6487630
2025-06-16,30.01746,6639236
2025-06-17,46.19352,5990881
2025-06-18,38.4178,6181471
2025-06-19,17.56979,6274237
2025-06-20,31.25699,6624537
2025-06-21,20.57233,6577307
2025-06-22,60.02784,6631734
2025-06-23,59.83898,6501748
2025-06-24,36.16472,6586677
2025-06-25,25.67773,7035248
2025-06-26,24.94059,6891341
2025-06-27,20.37692,6964501
2025-06-28,4.2419,7003296
2025-06-29,9.33775,6991019
2025-06-30,18.32296,6984326
2025-07-01,20.77981,7114981
2025-07-02,21.69296,7324697
2025-07-03,26.41701,7352795
2025-07-04,16.34902,7373350
2025-07-05,5.25654,7427390
2025-07-06,14.08153,7400647
2025-07-07,21.78661,7520084
2025-07-08,19.66529,7593403
2025-07-09,23.66125,7521976
2025-07-10,32.3815,6864665
2025-07-11,30.85674,7354725
2025-07-12,13.89073,7136252
2025-07-13,18.6374,7209073
2025-07-14,35.9658,6999430
2025-07-15,53.31829,7112082
2025-07-16,44.36291,6744888
2025-07-17,41.94643,7038273
2025-07-18,40.66298,6942382
2025-07-19,11.85761,7144001
2025-07-20,21.95824,6600726
2025-07-21,39.67695,6498955
2025-07-22,46.73017,6885350
2025-07-23,35.92728,6943617
2025-07-24,32.77884,7027083
2025-07-25,42.78265,7082357
2025-07-26,10.43049,7363470
2025-07-27,11.89566,7292235
2025-07-28,30.2515,7012287
2025-07-29,31.63379,7059602
2025-07-30,39.87505,7218315
2025-07-31,31.36051,7432293
2025-08-01,72.44069,7269102
2025-08-02,22.53782,7017246
2025-08-03,16.07648,7500497
2025-08-04,26.88155,7686054
2025-08-05,37.13509,7764688
2025-08-06,30.08052,7811580
2025-08-07,28.68204,8044127
2025-08-08,29.44389,8165510
2025-08-09,18.34631,8317923
2025-08-10,30.62293,8237980
2025-08-11,58.80236,7227888
2025-08-12,39.24493,7872844
2025-08-13,47.5062,7580149
2025-08-14,74.7525,7303353
2025-08-15,40.55656,7843389
2025-08-16,10.6669,8185958
2025-08-17,11.85813,8253640
2025-08-18,39.86298,8208200
2025-08-19,45.10635,7582784
2025-08-20,40.40071,8397763
2025-08-21,34.6833,7607914
2025-08-22,48.41681,7547523
2025-08-23,13.38978,7691140
2025-08-24,38.94101,7912918
